Date,Sport,Event,Time,Additional details,Location,Closest Metro,LEFT,Start time,RIGHT,End time
July 24,Rugby Sevens,Pool Rounds - men's,1530-2200,,Stade de France,Stade de France - Saint-Denis (RER D),1530,15:30,2200,22:00
July 24,Football,Group Stage (Men’s),1500-2300,8 matches,Multiple locations - check official documentation,,1500,15:00,2300,23:00
July 25,Handball,Preliminaries (Women’s),0900-1230,2 matches,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),0900,09:00,1230,12:30
July 25,Handball,Preliminaries (Women’s),1400-1730,2 matches,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),1400,14:00,1730,17:30
July 25,Handball,Preliminaries (Women’s),1900-2230,2 matches,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),1900,19:00,2230,22:30
July 25,Rugby Sevens,Pool Rounds - men's,1400-1700,,Stade de France,Stade de France - Saint-Denis (RER D),1400,14:00,1700,17:00
July 25,Rugby Sevens,"Placement Matches, Quarters - men's",2000-2300,,Stade de France,Stade de France - Saint-Denis (RER D),2000,20:00,2300,23:00
July 25,Football,Group Stage (Women’s),1700-2300,6 matches,Multiple locations - check official documentation,,1700,17:00,2300,23:00
July 25,Archery,Ranking Round (Women’s),0930-1230,,La Defense Arena (tentative),Puteaux (Metro 1),0930,09:30,1230,12:30
July 25,Archery,Ranking Round - men's,1415-1715,,La Defense Arena (tentative),Puteaux (Metro 1),1415,14:15,1715,17:15
July 26,Ceremony,Opening Ceremony,,,,,,:,,:
July 27,Canoe Slalom,Heats (M/W),1500-1910,"M C1, W K1",Vaires-sur-Marne Nautical Stadium,Vaires (Transilien Paris-Est),1500,15:00,1910,19:10
July 27,Rowing,Heats (M/W),0900-1310,"Single Sculls, Double Sculls, Quadruple Sculls",Vaires-sur-Marne Nautical Stadium,Vaires (Transilien Paris-Est),0900,09:00,1310,13:10
July 27,Judo,"Women’s -48kg, Men’s -60kg",1000-1400,Elimination & Medal Rounds,Two locations – check official documentation,Palais Royal-Musée du Louvre (Metro 1/7),1000,10:00,1400,14:00
July 27,Judo,"Women’s -48kg, Men’s -60kg",1600-1900,Elimination & Medal Rounds,Two locations – check official documentation,Palais Royal-Musée du Louvre (Metro 1/7),1600,16:00,1900,19:00
July 27,Hockey,Pool Stage (M/W),1000-1500,2 matches,Stade Roland Garros (Court Suzanne Lenglen),Porte d'Auteuil (Metro 10),1000,10:00,1500,15:00
July 27,Hockey,Pool Stage (M/W),1030-1530,2 matches,Stade Roland Garros (Court Suzanne Lenglen),Porte d'Auteuil (Metro 10),1030,10:30,1530,15:30
July 27,Hockey,Pool Stage (M/W),1700-2200,2 matches,Stade Roland Garros (Court Suzanne Lenglen),Porte d'Auteuil (Metro 10),1700,17:00,2200,22:00
July 27,Hockey,Pool Stage (M/W),1730-2230,2 matches,Stade Roland Garros (Court Suzanne Lenglen),Porte d'Auteuil (Metro 10),1730,17:30,2230,22:30
July 27,Badminton,Group Stage (M/W/Mixed),0830-1200,Singles & Doubles,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),0830,08:30,1200,12:00
July 27,Badminton,Group Stage (M/W/Mixed),1400-1730,Singles & Doubles,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),1400,14:00,1730,17:30
July 27,Badminton,Group Stage (M/W/Mixed),1930-2300,Singles & Doubles,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),1930,19:30,2300,23:00
